onset	duration	trial_type	value	sample
0.0	0.0	begin	1	0
5.027	0.0	video on	5	5027
7.074	0.0	video off	4	7074
7.688	0.0	resp	3	7688
8.026	0.0	video on	5	8026
10.02	0.0	video off	4	10020
11.024	0.0	video on	5	11024
13.022	0.0	video off	4	13022
14.025	0.0	video on	5	14025
16.04	0.0	video off	4	16040
16.368	0.0	resp	3	16368
17.024	0.0	video on	5	17024
19.041	0.0	video off	4	19041
19.456	0.0	resp	3	19456
23.026	0.0	video on	5	23026
25.036	0.0	video off	4	25036
25.624	0.0	resp	3	25624
26.026	0.0	video on	5	26026
28.036	0.0	video off	4	28036
28.536	0.0	resp	3	28536
29.027	0.0	video on	5	29027
31.035	0.0	video off	4	31035
31.44	0.0	resp	3	31440
32.025	0.0	video on	5	32025
34.035	0.0	video off	4	34035
34.536	0.0	resp	3	34536
35.025	0.0	video on	5	35025
37.041	0.0	video off	4	37041
37.697	0.0	resp	3	37697
41.027	0.0	video on	5	41027
43.031	0.0	video off	4	43031
43.496	0.0	resp	3	43496
44.025	0.0	video on	5	44025
46.034	0.0	video off	4	46034
46.496	0.0	resp	3	46496
47.027	0.0	video on	5	47027
49.034	0.0	video off	4	49034
49.584	0.0	resp	3	49584
50.026	0.0	video on	5	50026
52.034	0.0	video off	4	52034
52.696	0.0	resp	3	52696
53.027	0.0	video on	5	53027
55.073	0.0	video off	4	55073
55.552	0.0	resp	3	55552
59.027	0.0	video on	5	59027
61.03	0.0	video off	4	61030
61.592	0.0	resp	3	61592
62.026	0.0	video on	5	62026
64.041	0.0	video off	4	64041
64.48	0.0	resp	3	64480
65.025	0.0	video on	5	65025
67.034	0.0	video off	4	67034
67.545	0.0	resp	3	67545
68.026	0.0	video on	5	68026
70.042	0.0	video off	4	70042
71.027	0.0	video on	5	71027
73.04	0.0	video off	4	73040
77.026	0.0	video on	5	77026
79.032	0.0	video off	4	79032
79.392	0.0	resp	3	79392
80.026	0.0	video on	5	80026
82.032	0.0	video off	4	82032
82.529	0.0	resp	3	82529
83.028	0.0	video on	5	83028
85.036	0.0	video off	4	85036
85.505	0.0	resp	3	85505
86.027	0.0	video on	5	86027
88.039	0.0	video off	4	88039
88.512	0.0	resp	3	88512
89.026	0.0	video on	5	89026
91.074	0.0	video off	4	91074
91.689	0.0	resp	3	91689
95.028	0.0	video on	5	95028
97.04	0.0	video off	4	97040
97.473	0.0	resp	3	97473
98.026	0.0	video on	5	98026
100.042	0.0	video off	4	100042
100.617	0.0	resp	3	100617
101.026	0.0	video on	5	101026
103.041	0.0	video off	4	103041
103.697	0.0	resp	3	103697
104.026	0.0	video on	5	104026
106.032	0.0	video off	4	106032
106.465	0.0	resp	3	106465
107.026	0.0	video on	5	107026
109.041	0.0	video off	4	109041
109.602	0.0	resp	3	109602
113.027	0.0	video on	5	113027
115.074	0.0	video off	4	115074
115.529	0.0	resp	3	115529
116.027	0.0	video on	5	116027
118.035	0.0	video off	4	118035
118.505	0.0	resp	3	118505
119.028	0.0	video on	5	119028
121.036	0.0	video off	4	121036
121.49	0.0	resp	3	121490
122.027	0.0	video on	5	122027
124.042	0.0	video off	4	124042
124.505	0.0	resp	3	124505
125.027	0.0	video on	5	125027
127.032	0.0	video off	4	127032
127.465	0.0	resp	3	127465
131.026	0.0	video on	5	131026
133.036	0.0	video off	4	133036
133.49	0.0	resp	3	133490
134.027	0.0	video on	5	134027
136.031	0.0	video off	4	136031
137.027	0.0	video on	5	137027
139.074	0.0	video off	4	139074
140.026	0.0	video on	5	140026
142.041	0.0	video off	4	142041
142.569	0.0	resp	3	142569
143.028	0.0	video on	5	143028
145.073	0.0	video off	4	145073
145.601	0.0	resp	3	145601
149.028	0.0	video on	5	149028
151.042	0.0	video off	4	151042
151.529	0.0	resp	3	151529
152.026	0.0	video on	5	152026
154.037	0.0	video off	4	154037
154.577	0.0	resp	3	154577
155.028	0.0	video on	5	155028
157.032	0.0	video off	4	157032
157.553	0.0	resp	3	157553
158.029	0.0	video on	5	158029
160.038	0.0	video off	4	160038
160.609	0.0	resp	3	160609
161.027	0.0	video on	5	161027
163.074	0.0	video off	4	163074
163.617	0.0	resp	3	163617
167.027	0.0	video on	5	167027
169.04	0.0	video off	4	169040
169.657	0.0	resp	3	169657
170.028	0.0	video on	5	170028
172.033	0.0	video off	4	172033
172.801	0.0	resp	3	172801
173.026	0.0	video on	5	173026
175.039	0.0	video off	4	175039
175.601	0.0	resp	3	175601
176.027	0.0	video on	5	176027
178.033	0.0	video off	4	178033
178.553	0.0	resp	3	178553
179.029	0.0	video on	5	179029
181.036	0.0	video off	4	181036
182.017	0.0	resp	3	182017
185.027	0.0	video on	5	185027
187.041	0.0	video off	4	187041
187.466	0.0	resp	3	187466
188.028	0.0	video on	5	188028
190.031	0.0	video off	4	190031
190.538	0.0	resp	3	190538
191.028	0.0	video on	5	191028
193.042	0.0	video off	4	193042
193.49	0.0	resp	3	193490
194.028	0.0	video on	5	194028
196.039	0.0	video off	4	196039
196.601	0.0	resp	3	196601
197.029	0.0	video on	5	197029
199.041	0.0	video off	4	199041
199.57	0.0	resp	3	199570
203.029	0.0	video on	5	203029
205.036	0.0	video off	4	205036
205.754	0.0	resp	3	205754
206.028	0.0	video on	5	206028
208.041	0.0	video off	4	208041
208.538	0.0	resp	3	208538
209.027	0.0	video on	5	209027
211.035	0.0	video off	4	211035
211.698	0.0	resp	3	211698
212.029	0.0	video on	5	212029
214.035	0.0	video off	4	214035
214.482	0.0	resp	3	214482
215.026	0.0	video on	5	215026
217.039	0.0	video off	4	217039
217.514	0.0	resp	3	217514
221.028	0.0	video on	5	221028
223.039	0.0	video off	4	223039
223.474	0.0	resp	3	223474
224.029	0.0	video on	5	224029
226.042	0.0	video off	4	226042
226.49	0.0	resp	3	226490
227.03	0.0	video on	5	227030
229.044	0.0	video off	4	229044
229.602	0.0	resp	3	229602
230.028	0.0	video on	5	230028
232.034	0.0	video off	4	232034
232.538	0.0	resp	3	232538
233.028	0.0	video on	5	233028
235.039	0.0	video off	4	235039
235.474	0.0	resp	3	235474
239.028	0.0	video on	5	239028
241.041	0.0	video off	4	241041
241.523	0.0	resp	3	241523
242.028	0.0	video on	5	242028
244.034	0.0	video off	4	244034
244.666	0.0	resp	3	244666
245.029	0.0	video on	5	245029
247.041	0.0	video off	4	247041
247.514	0.0	resp	3	247514
248.029	0.0	video on	5	248029
250.045	0.0	video off	4	250045
250.618	0.0	resp	3	250618
251.031	0.0	video on	5	251031
