onset	duration	trial_type	value	sample
5.208333333333333	0.0	begin	1	6250
10.26	0.0	video on	5	12312
12.243333333333334	0.0	video off	4	14692
12.559166666666666	0.0	resp	3	15071
13.2425	0.0	video on	5	15891
15.2425	0.0	video off	4	18291
15.495	0.0	resp	3	18594
16.2425	0.0	video on	5	19491
18.27583333333333	0.0	video off	4	21931
18.575	0.0	resp	3	22290
19.2425	0.0	video on	5	23091
21.2425	0.0	video off	4	25491
21.335	0.0	resp	3	25602
22.2425	0.0	video on	5	26691
24.27583333333333	0.0	video off	4	29131
24.631666666666668	0.0	resp	3	29558
28.2425	0.0	video on	5	33891
30.2425	0.0	video off	4	36291
30.495	0.0	resp	3	36594
31.2425	0.0	video on	5	37491
33.2425	0.0	video off	4	39891
33.54333333333334	0.0	resp	3	40252
34.2425	0.0	video on	5	41091
36.2425	0.0	video off	4	43491
36.263333333333335	0.0	resp	3	43516
37.2425	0.0	video on	5	44691
39.2425	0.0	video off	4	47091
39.67916666666667	0.0	resp	3	47615
40.24166666666667	0.0	video on	5	48290
42.24166666666667	0.0	video off	4	50690
42.66333333333333	0.0	resp	3	51196
46.24166666666667	0.0	video on	5	55490
48.25833333333333	0.0	video off	4	57910
48.5275	0.0	resp	3	58233
49.24166666666667	0.0	video on	5	59090
51.24166666666667	0.0	video off	4	61490
51.51166666666666	0.0	resp	3	61814
52.24166666666667	0.0	video on	5	62690
54.24166666666667	0.0	video off	4	65090
54.55166666666667	0.0	resp	3	65462
55.25833333333333	0.0	video on	5	66310
57.25833333333333	0.0	video off	4	68710
58.24166666666667	0.0	video on	5	69890
60.25833333333333	0.0	video off	4	72310
60.5675	0.0	resp	3	72681
64.24083333333333	0.0	video on	5	77089
66.25833333333334	0.0	video off	4	79510
66.61583333333333	0.0	resp	3	79939
67.24083333333333	0.0	video on	5	80689
69.24083333333333	0.0	video off	4	83089
69.5275	0.0	resp	3	83433
70.24083333333333	0.0	video on	5	84289
72.24083333333333	0.0	video off	4	86689
72.5675	0.0	resp	3	87081
73.24083333333333	0.0	video on	5	87889
75.24083333333333	0.0	video off	4	90289
75.55166666666666	0.0	resp	3	90662
76.24083333333333	0.0	video on	5	91489
78.2575	0.0	video off	4	93909
78.55166666666666	0.0	resp	3	94262
82.24083333333333	0.0	video on	5	98689
84.24083333333333	0.0	video off	4	101089
84.65583333333333	0.0	resp	3	101587
85.24	0.0	video on	5	102288
87.24	0.0	video off	4	104688
87.50416666666666	0.0	resp	3	105005
88.24	0.0	video on	5	105888
90.2575	0.0	video off	4	108309
90.57583333333334	0.0	resp	3	108691
91.24	0.0	video on	5	109488
93.25666666666666	0.0	video off	4	111908
93.65583333333332	0.0	resp	3	112387
94.25666666666666	0.0	video on	5	113108
96.25666666666666	0.0	video off	4	115508
96.56833333333331	0.0	resp	3	115882
100.24	0.0	video on	5	120288
102.24	0.0	video off	4	122688
102.52	0.0	resp	3	123024
103.24	0.0	video on	5	123888
105.24	0.0	video off	4	126288
105.5125	0.0	resp	3	126615
106.24	0.0	video on	5	127488
108.24	0.0	video off	4	129888
108.5525	0.0	resp	3	130263
109.24	0.0	video on	5	131088
111.23916666666666	0.0	video off	4	133487
111.49583333333334	0.0	resp	3	133795
112.23916666666666	0.0	video on	5	134687
114.24	0.0	video off	4	137088
118.23916666666666	0.0	video on	5	141887
120.25583333333331	0.0	video off	4	144307
120.5925	0.0	resp	3	144711
121.23916666666666	0.0	video on	5	145487
123.23916666666666	0.0	video off	4	147887
123.61666666666666	0.0	resp	3	148340
124.23916666666666	0.0	video on	5	149087
126.23916666666666	0.0	video off	4	151487
126.48833333333332	0.0	resp	3	151786
127.25583333333331	0.0	video on	5	152707
129.25583333333333	0.0	video off	4	155107
129.53666666666666	0.0	resp	3	155444
130.23916666666668	0.0	video on	5	156287
132.25583333333333	0.0	video off	4	158707
132.5608333333333	0.0	resp	3	159073
136.23833333333334	0.0	video on	5	163486
138.23833333333334	0.0	video off	4	165886
138.76833333333337	0.0	resp	3	166522
139.23833333333334	0.0	video on	5	167086
141.255	0.0	video off	4	169506
141.41666666666666	0.0	resp	3	169700
142.23833333333334	0.0	video on	5	170686
144.255	0.0	video off	4	173106
144.5525	0.0	resp	3	173463
145.23833333333334	0.0	video on	5	174286
147.23833333333334	0.0	video off	4	176686
147.52083333333334	0.0	resp	3	177025
148.23833333333334	0.0	video on	5	177886
150.23833333333334	0.0	video off	4	180286
150.545	0.0	resp	3	180654
154.23833333333334	0.0	video on	5	185086
156.23833333333334	0.0	video off	4	187486
156.57666666666665	0.0	resp	3	187892
157.23833333333334	0.0	video on	5	188686
159.255	0.0	video off	4	191106
159.52916666666667	0.0	resp	3	191435
160.2375	0.0	video on	5	192285
162.25416666666666	0.0	video off	4	194705
162.48916666666668	0.0	resp	3	194987
163.2375	0.0	video on	5	195885
165.25416666666666	0.0	video off	4	198305
165.81666666666666	0.0	resp	3	198980
166.2375	0.0	video on	5	199485
168.2375	0.0	video off	4	201885
168.585	0.0	resp	3	202302
172.2375	0.0	video on	5	206685
174.25416666666666	0.0	video off	4	209105
174.57666666666665	0.0	resp	3	209492
175.2375	0.0	video on	5	210285
177.25416666666666	0.0	video off	4	212705
177.5608333333333	0.0	resp	3	213073
178.2375	0.0	video on	5	213885
180.2875	0.0	video off	4	216345
180.545	0.0	resp	3	216654
181.2375	0.0	video on	5	217485
183.25416666666663	0.0	video off	4	219905
183.60916666666665	0.0	resp	3	220331
184.2375	0.0	video on	5	221085
186.25416666666663	0.0	video off	4	223505
186.59333333333333	0.0	resp	3	223912
190.25333333333333	0.0	video on	5	228304
192.25333333333333	0.0	video off	4	230704
192.5608333333333	0.0	resp	3	231073
193.25333333333333	0.0	video on	5	231904
195.25333333333333	0.0	video off	4	234304
195.665	0.0	resp	3	234798
196.25333333333333	0.0	video on	5	235504
198.25333333333333	0.0	video off	4	237904
198.59333333333333	0.0	resp	3	238312
199.25333333333333	0.0	video on	5	239104
201.25333333333333	0.0	video off	4	241504
201.59333333333333	0.0	resp	3	241912
202.25333333333333	0.0	video on	5	242704
204.25333333333333	0.0	video off	4	245104
204.60083333333333	0.0	resp	3	245521
208.25333333333333	0.0	video on	5	249904
210.2525	0.0	video off	4	252303
210.52916666666667	0.0	resp	3	252635
211.2525	0.0	video on	5	253503
213.2525	0.0	video off	4	255903
213.545	0.0	resp	3	256254
214.2525	0.0	video on	5	257103
216.23583333333332	0.0	video off	4	259483
216.5375	0.0	resp	3	259845
217.2525	0.0	video on	5	260703
219.2525	0.0	video off	4	263103
219.63333333333333	0.0	resp	3	263560
220.2525	0.0	video on	5	264303
222.2525	0.0	video off	4	266703
222.5775	0.0	resp	3	267093
226.2525	0.0	video on	5	271503
228.2525	0.0	video off	4	273903
228.5375	0.0	resp	3	274245
229.2525	0.0	video on	5	275103
231.2525	0.0	video off	4	277503
231.5858333333333	0.0	resp	3	277903
